Ano Exercício,Unidade Orçamentária (desc.),Programa (desc.),Ação (desc.),Plano Orçamentário,Plano Orçamentário (desc.),Natureza de Despesa (desc.),GND (desc.),Resultado Primário - Lei (desc.),Plano Interno (desc.),Dotação Atual,Autorizado,Empenhado,Empenhado Liquidado,Pago
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33901804 - AUXILIOS PARA DESENV. DE ESTUDOS E PESQUISAS,3 - Outras Despesas Correntes,2 - Primária discricionária,CENTRO DE REFERÊNCIA EM DIREITOS HUMANOS,0.,0.,"76,800.","76,800.","12,800."
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903000 - Material de Consumo,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,"3,418.5",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903000 - Material de Consumo,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,"3,167.04",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903000 - Material de Consumo,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"12,018.96",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903016 - MATERIAL DE EXPEDIENTE,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,0.,"3,418.5","3,418.5",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903016 - MATERIAL DE EXPEDIENTE,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,"2,493.04","2,493.04",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903017 - MATERIAL DE PROCESSAMENTO DE DADOS,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,482.,482.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903019 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,192.,192.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903300 - Passagens e Despesas com Locomoção,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,"46,099.92",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903300 - Passagens e Despesas com Locomoção,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,"2,501.76",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903300 - Passagens e Despesas com Locomoção,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,"5,230.8",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903300 - Passagens e Despesas com Locomoção,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"69,114.92",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903301 - PASSAGENS PARA O PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,0.,"2,100.","2,100.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903301 - PASSAGENS PARA O PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,"2,501.76","2,501.76","2,501.76"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903301 - PASSAGENS PARA O PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"5,230.8","5,230.8","5,230.8"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903303 - LOCACAO DE MEIOS DE TRANSPORTE,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,0.,"43,999.92","43,999.92",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903600 - Outros Serviços de Terceiros - Pessoa Física,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,"251,203.46",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903600 - Outros Serviços de Terceiros - Pessoa Física,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"149,227.5",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903602 - DIARIAS A COLABORADORES EVENTUAIS NO PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"30,936.8","30,936.8","30,936.8"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903606 - SERVICOS TECNICOS PROFISSIONAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"168,400.","168,400.","114,850."
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903607 - ESTAGIARIOS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"51,866.66","51,866.66","51,866.66"
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,"361,323.52",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,"4,237.9",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903900 - Outros Serviços de Terceiros - Pessoa Jurídica,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"87,577.22",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903903 - COMISSOES E CORRETAGENS,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,169.8,169.8,169.8
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903958 - SERVICOS DE TELECOMUNICACOES,3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,0.,"5,500.","5,500.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33903963 - SERVICOS GRAFICOS E EDITORIAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,PROJ.CONSOLID.CENTRO REFER.DIR.HUMANOS DO CAR,0.,0.,"4,068.1","4,068.1",787.5
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,"33903979 - SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL",3 - Outras Despesas Correntes,2 - Primária discricionária,DESPESAS FINALISTICAS GERAL COM A ÁREA FIM,0.,0.,"355,823.52","355,823.52",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33904700 - Obrigações Tributárias e Contributivas,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"22,440.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,"33910000 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos F/S",3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"36,740.",0.,0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33914700 - Obrigações Tributárias e Contributivas,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,"36,740.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33914718 - CONTRIB.PREVIDENCIARIAS-SERVICOS DE TERCEIROS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 03/11 - SNPDDH,0.,0.,"36,740.","36,740.","26,030."
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,33990000 - A DEFINIR,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"800,000.","800,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44300000 - Transferências a Estados e ao Distrito Federal,4 - Investimentos,2 - Primária discricionária,[Sem PI],"1,150,000.","300,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44304100 - Contribuições,4 - Investimentos,2 - Primária discricionária,[Sem PI],0.,"850,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44304139 - RIO GRANDE DO SUL,4 - Investimentos,2 - Primária discricionária,[Sem PI],0.,0.,"350,000.","350,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44304145 - SAO PAULO,4 - Investimentos,2 - Primária discricionária,[Sem PI],0.,0.,"500,000.","500,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44400000 - Transferências a Municípios,4 - Investimentos,2 - Primária discricionária,[Sem PI],"1,100,000.","1,100,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44900000 - Aplicações Diretas,4 - Investimentos,2 - Primária discricionária,[Sem PI],"1,210,000.","1,210,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,8799 - Apoio a Centros de Referência em Direitos Humanos,----,----------,44990000 - A DEFINIR,4 - Investimentos,2 - Primária discricionária,[Sem PI],"200,000.","200,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33300000 - Transferências a Estados e ao Distrito Federal,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"291,900.","100,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33304100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"191,900.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33304133 - PIAUI,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"191,900.","191,900.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33400000 - Transferências a Municípios,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"530,745.",0.,0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33404100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"530,745.07",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33404107 - A MUNICIPIOS DO ESTADO DA BAHIA,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"400,000.","400,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33404121 - A MUNICIPIOS DO ESTADO DE MATO GROSSO DO SUL,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"130,745.07","130,745.07",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33500000 - Transferências a Instituições Privadas sem Fins Lucrativos,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"777,355.","530,354.93",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33504100 - Contribuições,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,"247,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33504101 - INST.DE CARATER ASSIST.CULT.E EDUCACIONAL,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,0.,"247,000.","247,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33900000 - Aplicações Diretas,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],"100,000.",0.,0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33901800 - Auxílio Financeiro a Estudantes,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 08/2012 - TIRÉSIAS,0.,"12,000.",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33901801 - BOLSAS DE ESTUDO NO PAIS,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 08/2012 - TIRÉSIAS,0.,0.,"12,000.","12,000.",0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33903000 - Material de Consumo,3 - Outras Despesas Correntes,2 - Primária discricionária,SDH - TC Nº 08/2012 - TIRÉSIAS,0.,"3,435.8",0.,0.,0.
2012,20121 - Secretaria de Direitos Humanos,2064 - Promoção e Defesa dos Direitos Humanos,"8810 - Produção e Disseminação de Conhecimento para Promoção e Defesa dos Direitos de Lésbicas, Gays, Bissexuais, Travestis e Transexuais",----,----------,33903000 - Material de Consumo,3 - Outras Despesas Correntes,2 - Primária discricionária,[Sem PI],0.,4.2,0.,0.,0.
